127.0.0.1 - - [30/May/2020:23:03:31 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [30/May/2020:23:03:33 +0700] "GET /WebBanGiay2/ HTTP/1.1" 404 3449
0:0:0:0:0:0:0:1 - - [30/May/2020:23:03:33 +0700] "GET /WebBanGiay2/resources/css/style.css;jsessionid=1125FD06374E62BA3E848D235AFC5DF9 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [30/May/2020:23:03:33 +0700] "GET /WebBanGiay2/resources/js/home.js;jsessionid=1125FD06374E62BA3E848D235AFC5DF9 HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [30/May/2020:23:03:34 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png;jsessionid=1125FD06374E62BA3E848D235AFC5DF9 HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [30/May/2020:23:03:34 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [30/May/2020:23:04:53 +0700] "GET /WebBanGiay2/ HTTP/1.1" 404 3185
0:0:0:0:0:0:0:1 - - [30/May/2020:23:04:53 +0700] "GET /WebBanGiay2/resources/js/home.js HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [30/May/2020:23:04:53 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [30/May/2020:23:04:53 +0700] "GET /WebBanGiay2/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:01 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 20569
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:01 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:02 +0700] "GET /WebBanGiay2/chiTiet/158 HTTP/1.1" 200 7191
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:02 +0700] "GET /WebBanGiay2/resources/js/ChiTietSanPham.js HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:06 +0700] "POST /WebBanGiay2/api/gioHang HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:10 +0700] "GET /WebBanGiay2/user/gioHang HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:10 +0700] "GET /WebBanGiay2/dangNhap HTTP/1.1" 200 5564
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:10 +0700] "GET /WebBanGiay2/resources/js/DangNhap.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:12 +0700] "POST /WebBanGiay2/cookie HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:13 +0700] "GET /WebBanGiay2/chiTiet/158 HTTP/1.1" 200 8581
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:15 +0700] "GET /WebBanGiay2/user/gioHang HTTP/1.1" 200 8824
0:0:0:0:0:0:0:1 - - [30/May/2020:23:08:15 +0700] "GET /WebBanGiay2/resources/js/GioHang.js HTTP/1.1" 200 5237
