127.0.0.1 - - [04/Jun/2020:22:53:07 +0700] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:13 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 21713
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:13 +0700] "GET /WebBanGiay2/resources/css/style.css;jsessionid=CA1C28DC125F6B450415BBCB33043340 HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:13 +0700] "GET /WebBanGiay2/resources/js/home.js;jsessionid=CA1C28DC125F6B450415BBCB33043340 HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:13 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js;jsessionid=CA1C28DC125F6B450415BBCB33043340 HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:13 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png;jsessionid=CA1C28DC125F6B450415BBCB33043340 HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:16 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:58 +0700] "GET /WebBanGiay2/dangNhap;jsessionid=CA1C28DC125F6B450415BBCB33043340 HTTP/1.1" 200 4698
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:58 +0700] "GET /WebBanGiay2/resources/css/style.css HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:58 +0700] "GET /WebBanGiay2/resources/js/home.js HTTP/1.1" 200 1505
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:58 +0700] "GET /WebBanGiay2/resources/image/shopping-cart.png HTTP/1.1" 200 10309
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:58 +0700] "GET /WebBanGiay2/resources/js/DangNhap.js HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:53:59 +0700] "POST /WebBanGiay2/cookie HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:54:01 +0700] "GET /WebBanGiay2/ HTTP/1.1" 200 21073
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:54:01 +0700] "GET /WebBanGiay2/resources/js/DanhSachSanPham.js HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:58:17 +0700] "GET /WebBanGiay2/chiTiet/191 HTTP/1.1" 200 8497
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:58:17 +0700] "GET /WebBanGiay2/resources/js/ChiTietSanPham.js HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:58:26 +0700] "POST /WebBanGiay2/api/gioHang HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:58:30 +0700] "GET /WebBanGiay2/user/gioHang HTTP/1.1" 200 8904
0:0:0:0:0:0:0:1 - - [04/Jun/2020:22:58:30 +0700] "GET /WebBanGiay2/resources/js/GioHang.js HTTP/1.1" 200 5237
